Index,Best,Best,Best,Best,Best,Best,Best
Beta_Info,Index,Beta,Corr,Stock_Cutoff,Index_Cutoff,Index_Beta_to_SPY,Beta_to_SPY
Stock,,,,,,,
VRTX,IBB,1.0581835351906825,0.9535146260254119,0.06554834181977504,0.021849447273258348,1.1835041880874548,1.2523646456633615
REGN,IBB,0.9399587642701923,0.9534725302259304,0.06554834181977504,0.021849447273258348,1.1835041880874548,1.1124451341432813
BMRN,IBB,1.0101556091217472,0.9506678103854004,0.06554834181977504,0.021849447273258348,1.1835041880874548,1.1955233940156218
AMGN,IBB,0.675654987133108,0.9500415492948788,0.06554834181977504,0.021849447273258348,1.1835041880874548,0.7996405069742087
CELG,IBB,0.9140716114262956,0.9454605311295156,0.06554834181977504,0.021849447273258348,1.1835041880874548,1.0818075803348695
JAZZ,IBB,0.7283813319024175,0.9425449082688165,0.06554834181977504,0.021849447273258348,1.1835041880874548,0.8620423568312295
NBIX,IBB,1.1582995165433503,0.9270846521849571,0.06554834181977504,0.021849447273258348,1.1835041880874548,1.3708523288887293
MNK,IBB,1.1261947372434922,0.9268856643003635,0.06554834181977504,0.021849447273258348,1.1835041880874548,1.3328561881297238
ACAD,IBB,1.4582056836173407,0.9263843385377234,0.07729817672702095,0.021849447273258348,1.1835041880874548,1.725792533654053
ALXN,IBB,0.8763142845720461,0.9232197226107406,0.06554834181977504,0.021849447273258348,1.1835041880874548,1.0371216258718783
IRWD,IBB,0.9568906403194826,0.9200731381794591,0.06554834181977504,0.021849447273258348,1.1835041880874548,1.132484080359794
INSM,IBB,1.3446956117114028,0.9192756978532922,0.07465326735613224,0.021849447273258348,1.1835041880874548,1.5914528881632672
ALKS,IBB,1.0312448011431563,0.9136368237458958,0.06554834181977504,0.021849447273258348,1.1835041880874548,1.22048254109634
SPPI,IBB,1.1918627669698645,0.912517435154622,0.07047882562481535,0.021849447273258348,1.1835041880874548,1.410574576334337
PTLA,IBB,1.2890761238512718,0.910507770094516,0.07179379986275743,0.021849447273258348,1.1835041880874548,1.5256269913415228
UTHR,IBB,0.8541706564248548,0.9076670597913181,0.06554834181977504,0.021849447273258348,1.1835041880874548,1.010914549220226
RVNC,IBB,1.3144950051487203,0.9075603776676224,0.07799016533789685,0.021849447273258348,1.1835041880874548,1.5557103438135509
BIIB,IBB,0.82668071578472,0.906451020694145,0.06554834181977504,0.021849447273258348,1.1835041880874548,0.9783800893423511
SGEN,IBB,1.166736265148352,0.905835760259847,0.06554834181977504,0.021849447273258348,1.1835041880874548,1.3808372561965896
AERI,IBB,1.0437717398870663,0.9013722154858963,0.06910917342412615,0.021849447273258348,1.1835041880874548,1.2353082255636725
HZNP,IBB,1.1281517130259426,0.9007152134024882,0.06735697298659114,0.021849447273258348,1.1835041880874548,1.3351722771642396
CTLT,IBB,0.6688546463060625,0.8997046793982265,0.06554834181977504,0.021849447273258348,1.1835041880874548,0.7915922751249783
LXRX,IBB,1.1353544249297438,0.8989825998455501,0.06710716658981615,0.021849447273258348,1.1835041880874548,1.3436967168679756
ACOR,IBB,1.2143074799179772,0.8989777890376144,0.06771198424262766,0.021849447273258348,1.1835041880874548,1.4371379881088489
XON,IBB,1.2843061710796453,0.8982287149502078,0.08398927445835722,0.021849447273258348,1.1835041880874548,1.5199817322593234
SAGE,IBB,1.29655290634852,0.8973877112445533,0.07943506931392905,0.021849447273258348,1.1835041880874548,1.534475794740435
MGNX,IBB,1.3243291557391874,0.8929048891430607,0.08101506752712644,0.021849447273258348,1.1835041880874548,1.5673491022236514
RGEN,IBB,0.9448017854980539,0.8914050762354763,0.06554834181977504,0.021849447273258348,1.1835041880874548,1.1181768700494519
EBS,IBB,0.8798331744566256,0.890886972832495,0.06554834181977504,0.021849447273258348,1.1835041880874548,1.0412862467876967
ABBV,IBB,0.671540815828664,0.888553530877472,0.06554834181977504,0.021849447273258348,1.1835041880874548,0.79477136800489
ILMN,IBB,0.7792427233715566,0.8865396192339027,0.06554834181977504,0.021849447273258348,1.1835041880874548,0.9222370266469113
SYNH,IBB,0.671565802686884,0.8844408797847846,0.06554834181977504,0.021849447273258348,1.1835041880874548,0.7948009400562406
NKTR,IBB,0.9216484867602328,0.883317242904405,0.0713228437274079,0.021849447273258348,1.1835041880874548,1.0907748440252008
ENDP,IBB,1.1280728581851902,0.8827088173074483,0.08246952209252169,0.021849447273258348,1.1835041880874548,1.3350789521299582
MDCO,IBB,0.883144127522982,0.8814372731315422,0.06554834181977504,0.021849447273258348,1.1835041880874548,1.0452047736082906
GRFS,IBB,0.5823930367884168,0.879889246833124,0.06554834181977504,0.021849447273258348,1.1835041880874548,0.6892645981520624
DVAX,IBB,1.4198261565519652,0.8794002925715991,0.09028135062006913,0.021849447273258348,1.1835041880874548,1.680370202635365
XNCR,IBB,1.1082068630810207,0.8774557868771053,0.06949052970384843,0.021849447273258348,1.1835041880874548,1.3115674637236485
MYL,IBB,0.7981395228235416,0.8765941612744675,0.06554834181977504,0.021849447273258348,1.1835041880874548,0.9446014679397843
EXEL,IBB,1.2447465059854572,0.8760989295745084,0.073336097436368,0.021849447273258348,1.1835041880874548,1.4731627029410148
IOVA,IBB,1.2894483456753956,0.8744529690617235,0.08273741438508869,0.021849447273258348,1.1835041880874548,1.5260675174292708
SRPT,IBB,1.149678612146076,0.8714123572888066,0.0866828990647969,0.021849447273258348,1.1835041880874548,1.3606494524294537
PRAH,IBB,0.6120707897262873,0.869445580152164,0.06554834181977504,0.021849447273258348,1.1835041880874548,0.7243883430470569
