Strike,Bid,Midpoint,Ask
83.0,1.80,1.86,1.91
84.0,2.01,2.07,2.13
85.0,2.27,2.31,2.34
86.0,2.49,2.55,2.61
87.0,2.78,2.83,2.88
88.0,3.05,3.13,3.20
89.0,3.35,3.43,3.50
90.0,3.70,3.80,3.90
91.0,4.10,4.18,4.25
92.0,4.55,4.63,4.70
93.0,4.95,5.03,5.10
94.0,5.40,5.50,5.60
95.0,5.90,6.00,6.10
96.0,6.45,6.55,6.65
97.0,7.05,7.13,7.20
98.0,7.60,7.68,7.75
99.0,8.25,8.33,8.40
100.0,8.85,8.98,9.10
101.0,9.55,9.70,9.85
102.0,10.30,10.40,10.50
