Index,SPY,SPY,SPY,SPY,SPY
Beta_Info,Beta,Corr,Stock_Cutoff,Index_Cutoff,Percentile_Cutoff
Stock,,,,,
AAXJ,1.019449974090521,0.9402652865856361,0.04456631877317111,0.011024740339422304,1.0
ACWI,0.9028990866423017,0.9896505395349673,0.03275575786087266,0.011024740339422304,1.0
AGG,-0.026801754061154263,-0.22390582520787414,0.0084240028642769,0.011024740339422304,1.0
BIL,-0.0013411529083488531,-0.11880936062307508,0.0007617855032302889,0.011024740339422304,1.0
BND,-0.038586191618429376,-0.30987029450120823,0.008627115732112983,0.011024740339422304,1.0
BNO,0.5553313268764182,0.6137608464759835,0.08962555816491094,0.011024740339422304,1.0
DGT,0.7751560194364113,0.8728976939495988,0.03508223029366468,0.011024740339422304,1.0
ECH,0.6926018801418784,0.8501284770853377,0.047974881014822494,0.011024740339422304,1.0
ECON,1.008606971274795,0.9282875054813399,0.05222738510882083,0.011024740339422304,1.0
EEM,1.0876547590596077,0.9431281499566689,0.04979724339140057,0.011024740339422304,1.0
EPI,0.7619138249859979,0.858637944066823,0.049359177762835736,0.011024740339422304,1.0
EWA,0.8480013107403347,0.9367307087326058,0.049135547765276615,0.011024740339422304,1.0
EWD,0.8285742522136508,0.9151380889673295,0.04566313607723547,0.011024740339422304,1.0
EWH,0.6366138246067339,0.8374036330363543,0.03971447776840967,0.011024740339422304,1.0
EWI,0.8217196125254802,0.8644739035723188,0.055028748193283586,0.011024740339422304,1.0
EWL,0.607232710523446,0.9218019123971979,0.03382710899117826,0.011024740339422304,1.0
EWM,0.6024418391048503,0.9222437458599865,0.04648185284257263,0.011024740339422304,1.0
EWP,0.7723223308804058,0.8944583794771677,0.049983917987688,0.011024740339422304,1.0
EWQ,0.7026371961365596,0.8919282989178733,0.04218134408975738,0.011024740339422304,1.0
EWS,0.6671901832043806,0.8594339757538589,0.0397898827136966,0.011024740339422304,1.0
EWT,0.9632798911767206,0.9299222290782431,0.04765767873965447,0.011024740339422304,1.0
EWU,0.6291271996497435,0.8836155158345022,0.039349681653273544,0.011024740339422304,1.0
EWW,0.8463462371342321,0.8652603903291282,0.05616408488711321,0.011024740339422304,1.0
EWY,1.1311011477810182,0.9064575272879871,0.05151427042446143,0.011024740339422304,1.0
EWZ,1.1232835769423104,0.8533316704580541,0.08789397591361939,0.011024740339422304,1.0
EZU,0.8080064594920165,0.9376530962427494,0.0418922531329443,0.011024740339422304,1.0
FDN,1.0605084537067262,0.9563086396715949,0.04362459983504916,0.011024740339422304,1.0
FEZ,0.8007978316871907,0.9324898579716226,0.043056769576386954,0.011024740339422304,1.0
FM,0.5760433831408797,0.8757824174992569,0.033634050844436866,0.011024740339422304,1.0
FXD,0.8803346001507695,0.9748687281917268,0.03757939144479773,0.011024740339422304,1.0
FXG,0.6327340411827355,0.9316671127296821,0.032727105501855876,0.011024740339422304,1.0
FXI,1.0325113244715587,0.8800004646825299,0.05834813015433566,0.011024740339422304,1.0
GDX,0.2601257780618217,0.23345037471327812,0.10148349578570574,0.011024740339422304,1.0
GDXJ,0.2504144606668007,0.19246267206346035,0.11735332457377698,0.011024740339422304,1.0
GLD,-0.05911187138593327,-0.14043659913635748,0.03387857690221296,0.011024740339422304,1.0
GUNR,0.7956363434252942,0.9199908918336185,0.047081188284077535,0.011024740339422304,1.0
HACK,0.9446845257688233,0.940488653857947,0.05105725563097503,0.011024740339422304,1.0
HEDJ,0.7335080898926876,0.9402226402698134,0.04298512175678928,0.011024740339422304,1.0
IAU,-0.03770464042792691,-0.08646510643326814,0.03408011171763374,0.011024740339422304,1.0
IBB,1.1835041880874548,0.9442576040061947,0.06550578682866998,0.011024740339422304,1.0
IDU,0.31068321678827887,0.4996021142009847,0.036886861346704845,0.011024740339422304,1.0
IEF,-0.10249246788031616,-0.5202763890422196,0.014087538950645333,0.011024740339422304,1.0
IEI,-0.0643294950059356,-0.552902621782377,0.007803787947985641,0.011024740339422304,1.0
IGE,0.8914640285011282,0.9060280708894802,0.056123706256563266,0.011024740339422304,1.0
IJH,0.9450562256253284,0.9772752853462634,0.03560899374640764,0.011024740339422304,1.0
IJR,0.9134533603718017,0.9678254033476174,0.040881570359857754,0.011024740339422304,1.0
INDA,0.8273347645813639,0.8723944811784695,0.04944994111302025,0.011024740339422304,1.0
IVV,0.9977618158919475,0.9995803364405688,0.03138660879920044,0.011024740339422304,1.0
IWB,0.9897322646044979,0.9992692731692963,0.0314551392876515,0.011024740339422304,1.0
IWM,0.9386711673034971,0.9662960472328566,0.041160634425076253,0.011024740339422304,1.0
IWR,0.9153040311593946,0.9859905651869992,0.03295209415297034,0.011024740339422304,1.0
IXC,0.8425199935892214,0.9132823471224546,0.052673107765945595,0.011024740339422304,1.0
IXP,0.6644470086960204,0.9004272251431368,0.0327539578177244,0.011024740339422304,1.0
IYC,0.9336726523474773,0.9801645154659201,0.03279355523953726,0.011024740339422304,1.0
IYE,0.898117840647602,0.9054164867793197,0.05677119646415606,0.011024740339422304,1.0
IYG,1.1426032141522668,0.9615409057359678,0.04653845564243898,0.011024740339422304,1.0
IYJ,1.0417001499308245,0.9872613129547191,0.03528164199142481,0.011024740339422304,1.0
IYK,0.7112149535204317,0.9390216199136605,0.030311953798815034,0.011024740339422304,1.0
IYR,0.5338723641748387,0.7960737835838511,0.036760146270015656,0.011024740339422304,1.0
IYT,1.0402297069821125,0.9438254745931718,0.045702457822600594,0.011024740339422304,1.0
IYZ,0.8680352252954937,0.8784097147828674,0.04771998833382837,0.011024740339422304,1.0
JNK,0.24749393693736343,0.8546660935569724,0.015156069882389872,0.011024740339422304,1.0
KBE,1.0262847687195789,0.904753066464601,0.05346588633518573,0.011024740339422304,1.0
KIE,0.7550572021307639,0.9408609131657417,0.03510227135765729,0.011024740339422304,1.0
KRE,1.0145529422612845,0.8899129850098554,0.0562227942228183,0.011024740339422304,1.0
