Index,SPY,SPY,SPY,SPY,SPY
Beta_Info,Beta,Corr,Stock_Cutoff,Index_Cutoff,Percentile_Cutoff
LIT,1.0450322294546799,0.9299624244278784,0.053588620824902185,0.011024740339422304,1.0
LQD,0.04769982364876907,0.25997505324416464,0.013275728607686976,0.011024740339422304,1.0
MDY,0.9452132531084354,0.9783580289624456,0.03574755996893633,0.011024740339422304,1.0
MINT,-0.006449211460201438,-0.42973351713661306,0.001121561167617196,0.011024740339422304,1.0
MOO,0.8205420579895889,0.9655832562805797,0.03582275764685185,0.011024740339422304,1.0
OIH,1.0455816271505907,0.8560205118305978,0.0833493099072437,0.011024740339422304,1.0
OIL,0.8210680790779618,0.6785657466874837,0.10530164681896119,0.011024740339422304,1.0
RSX,0.9017730718397011,0.8732346547490516,0.07859752041665945,0.011024740339422304,1.0
RTH,0.9230893005253507,0.954558266534699,0.03576871637645981,0.011024740339422304,1.0
RWO,0.5387605640665117,0.8252060165438746,0.03374407906189264,0.011024740339422304,1.0
RWR,0.535753431836636,0.7429004219618482,0.040026090224738534,0.011024740339422304,1.0
RWX,0.520540455579639,0.8469456164648482,0.03408215263257392,0.011024740339422304,1.0
SHY,-0.017272071626508363,-0.5366189261285427,0.0023216181484945696,0.011024740339422304,1.0
SIL,0.5419616447956908,0.44200220123092493,0.10381478448301694,0.011024740339422304,1.0
SLV,0.11590891057344457,0.20569099322753162,0.05311204915691127,0.011024740339422304,1.0
SMH,1.3432138136092162,0.9674118230404978,0.05435209575078686,0.011024740339422304,1.0
TLT,-0.14932775374381632,-0.3645380630360117,0.03371136808688733,0.011024740339422304,1.0
UNG,0.24504886230841513,0.3106260582231052,0.09973140358139163,0.011024740339422304,1.0
VB,0.9180362414689747,0.9762000941413999,0.03732412904606685,0.011024740339422304,1.0
VCR,0.9454533355439396,0.9811269284350409,0.03415228874833301,0.011024740339422304,1.0
VDC,0.5741991898823342,0.8862379136612332,0.02931492778219599,0.011024740339422304,1.0
VDE,0.909169414351854,0.9026160293812097,0.057973150863193997,0.011024740339422304,1.0
VEU,0.7787986758698761,0.9568250223336975,0.03665269575980596,0.011024740339422304,1.0
VGK,0.7518504848679737,0.9363072910949392,0.03838533902222334,0.011024740339422304,1.0
VIS,1.0245301965980194,0.9814757528398057,0.036191895464091114,0.011024740339422304,1.0
VNQ,0.5091860984158079,0.750052020598895,0.0394870624505829,0.011024740339422304,1.0
VO,0.9431886000600668,0.9900322201570891,0.03367534110538244,0.011024740339422304,1.0
VOO,0.9975113699342969,0.9995552343538976,0.03143888426892402,0.011024740339422304,1.0
VOX,0.765970750393461,0.864725013426557,0.04028684413997927,0.011024740339422304,1.0
VPU,0.34664499799341,0.5263656810952667,0.03653635177914606,0.011024740339422304,1.0
VWO,1.0167584028081722,0.9486126397688476,0.04786626863295153,0.011024740339422304,1.0
VXUS,0.7862695701912772,0.9551704754473049,0.03691627578996073,0.011024740339422304,1.0
XBI,1.3331779348731474,0.9139971537768059,0.0851753655118752,0.011024740339422304,1.0
XHB,0.9976984289503976,0.9545707843761627,0.04594610522357761,0.011024740339422304,1.0
XLB,1.0114177610584871,0.9720150746580968,0.04204540532651041,0.011024740339422304,1.0
XLE,0.8786916754679651,0.903074516057115,0.05515476060337963,0.011024740339422304,1.0
XLF,1.114712731714526,0.9606673481578739,0.04270376320503895,0.011024740339422304,1.0
XLI,1.024178675730162,0.980295436957982,0.03587191910312583,0.011024740339422304,1.0
XLK,1.215537421255403,0.9834409233271102,0.03865498026245857,0.011024740339422304,1.0
XLP,0.5686941356126017,0.8775875139684576,0.029929728426736718,0.011024740339422304,1.0
XLU,0.3547790911083601,0.5579773973022114,0.037240986142101,0.011024740339422304,1.0
XLV,0.9171614735325231,0.9668048245804989,0.038110655174214046,0.011024740339422304,1.0
XLY,0.9699942385088455,0.9800856553457956,0.034405237417600855,0.011024740339422304,1.0
XME,1.171034873376018,0.7898894009283008,0.08212987272516986,0.011024740339422304,1.0
XOP,1.0985259692948208,0.866815733376406,0.09292662331400149,0.011024740339422304,1.0
XRT,0.8727608371889617,0.9327749128715385,0.05014524688324432,0.011024740339422304,1.0
