Index,SPY,SPY,SPY,SPY,SPY,SPY,SPY
Beta_Info,Beta,Corr,Stock_Cutoff,Index_Cutoff,Percentile_Cutoff,Index_Beta_to_SPY,Beta_to_SPY
Stock,,,,,,,
ABAX,1.1014263073034727,0.8472664703815799,0.0381544737855971,0.008259150840071637,1.0,1.0,1.1014263073034727
ABBV,0.862347956478663,0.7726315598864547,0.03131928168954717,0.008259150840071637,1.0,1.0,0.862347956478663
ABC,0.9174982068754275,0.7574574694013022,0.033933873284735336,0.008259150840071637,1.0,1.0,0.9174982068754275
ABEO,1.2413636885322912,0.46322441339956977,0.11082046185194952,0.008259150840071637,1.0,1.0,1.2413636885322912
ABMD,1.1159782856259455,0.799568487629276,0.038997817321856997,0.008259150840071637,1.0,1.0,1.1159782856259455
ABT,0.8837405960145561,0.877822697427603,0.025827069812887918,0.008259150840071637,1.0,1.0,0.8837405960145561
ACAD,1.9291071086701133,0.7888831136607904,0.07729817672702095,0.008259150840071637,1.0,1.0,1.9291071086701133
ACHC,0.7445699172102765,0.6467467404521902,0.048682921236473706,0.008259150840071637,1.0,1.0,0.7445699172102765
ACOR,1.4538224029033595,0.7355228593508724,0.06771198424262766,0.008259150840071637,1.0,1.0,1.4538224029033595
ADAP,1.0298966456476688,0.482846232161341,0.09276568241853295,0.008259150840071637,1.0,1.0,1.0298966456476688
ADMS,1.39882657316324,0.6204322287116464,0.07906668527066964,0.008259150840071637,1.0,1.0,1.39882657316324
AERI,1.141173194024092,0.6937701262525401,0.06910917342412615,0.008259150840071637,1.0,1.0,1.141173194024092
AET,0.5016618425237404,0.7305300987871833,0.02817893856968771,0.008259150840071637,1.0,1.0,0.5016618425237404
AGIO,1.670721684956774,0.767830634475653,0.08628350430245209,0.008259150840071637,1.0,1.0,1.670721684956774
AGN,0.7640899446928293,0.734580840140836,0.03818490158325645,0.008259150840071637,1.0,1.0,0.7640899446928293
AKRX,0.5534636428071987,0.4994871045971834,0.05282285366703602,0.008259150840071637,1.0,1.0,0.5534636428071987
ALDR,1.695461142470255,0.7071823473312435,0.09059617756567598,0.008259150840071637,1.0,1.0,1.695461142470255
ALGN,1.3934329571973585,0.8754358646929394,0.037754739548525144,0.008259150840071637,1.0,1.0,1.3934329571973585
ALKS,1.0702360027613225,0.647521702919257,0.05664777479261938,0.008259150840071637,1.0,1.0,1.0702360027613225
ALNY,1.3666643941691903,0.7184974009881632,0.0761521262379153,0.008259150840071637,1.0,1.0,1.3666643941691903
ALXN,1.279333416307932,0.7955921112674711,0.05078993020675012,0.008259150840071637,1.0,1.0,1.279333416307932
AMED,0.5611290943743836,0.5739284938388124,0.043433099924902276,0.008259150840071637,1.0,1.0,0.5611290943743836
AMGN,1.0251272716816142,0.8655759936885614,0.029040137497630167,0.008259150840071637,1.0,1.0,1.0251272716816142
AMN,0.7999271232472339,0.6827180339150225,0.04742827104922765,0.008259150840071637,1.0,1.0,0.7999271232472339
AMPH,1.1322268827181452,0.7857503069009661,0.050242691836554665,0.008259150840071637,1.0,1.0,1.1322268827181452
ANAB,0.9068925720299758,0.5001493331091005,0.07457077486969776,0.008259150840071637,1.0,1.0,0.9068925720299758
ANTM,0.8606509029778845,0.7977118022146025,0.03162468357632352,0.008259150840071637,1.0,1.0,0.8606509029778845
ARNA,0.9128247089293451,0.47348069929121844,0.07907458171720977,0.008259150840071637,1.0,1.0,0.9128247089293451
ARRY,1.2949766593213876,0.7144037649872091,0.08045283862025797,0.008259150840071637,1.0,1.0,1.2949766593213876
ASMB,0.827273278582605,0.4397779420939536,0.07790788126627007,0.008259150840071637,1.0,1.0,0.827273278582605
ASND,0.572103866295296,0.44752983324049805,0.05233079759155961,0.008259150840071637,1.0,1.0,0.572103866295296
ATHN,1.07155205241479,0.7788475833641201,0.04099110494264816,0.008259150840071637,1.0,1.0,1.07155205241479
ATRA,1.5006650410009867,0.5014919995453163,0.10628248387765894,0.008259150840071637,1.0,1.0,1.5006650410009867
AVXS,0.9870779297286116,0.5907601129840097,0.07964874723181073,0.008259150840071637,1.0,1.0,0.9870779297286116
AXDX,1.0869982504652926,0.5868109370622647,0.07292976111636315,0.008259150840071637,1.0,1.0,1.0869982504652926
AXGN,1.024826328198562,0.6807104417306786,0.053823811824896275,0.008259150840071637,1.0,1.0,1.024826328198562
AZN,0.4399615065983302,0.5721454273578288,0.02735885043163231,0.008259150840071637,1.0,1.0,0.4399615065983302
BABY,0.8630290356284848,0.70673552325297,0.04251527303840013,0.008259150840071637,1.0,1.0,0.8630290356284848
BAX,0.8259716899216957,0.9044746240484516,0.024621816698930415,0.008259150840071637,1.0,1.0,0.8259716899216957
BDX,0.8255559555194957,0.8932176682022352,0.02408147476305195,0.008259150840071637,1.0,1.0,0.8255559555194957
BEAT,1.0521722809296348,0.6685740045482891,0.05648088172061976,0.008259150840071637,1.0,1.0,1.0521722809296348
BGNE,0.9609794853665763,0.5311517038236943,0.07099319551811006,0.008259150840071637,1.0,1.0,0.9609794853665763
BIIB,1.0630784026145759,0.8389132183159459,0.03906896067005873,0.008259150840071637,1.0,1.0,1.0630784026145759
BIO,0.7997993447574026,0.8450274865125201,0.02668534206988077,0.008259150840071637,1.0,1.0,0.7997993447574026
BKD,0.5780689709694915,0.5249335417829049,0.05607045870875964,0.008259150840071637,1.0,1.0,0.5780689709694915
BLUE,1.6753555893608734,0.706104633908272,0.09508882818607757,0.008259150840071637,1.0,1.0,1.6753555893608734
BMRN,1.1165146695396602,0.7846859104519105,0.05108149565938077,0.008259150840071637,1.0,1.0,1.1165146695396602
BMY,0.750414408746903,0.7769816883383165,0.029495207335229423,0.008259150840071637,1.0,1.0,0.750414408746903
BPMC,1.315879528853315,0.6271047404960574,0.08474635891761242,0.008259150840071637,1.0,1.0,1.315879528853315
BSX,0.9981652941377904,0.8819487171457155,0.02759330562387056,0.008259150840071637,1.0,1.0,0.9981652941377904
CAH,0.9663190980642408,0.8490256098347614,0.032170132255728234,0.008259150840071637,1.0,1.0,0.9663190980642408
CBM,0.8186728171153906,0.698140188654736,0.04551549265444705,0.008259150840071637,1.0,1.0,0.8186728171153906
CBPO,0.8595422280546801,0.7120611795272362,0.047872197602683235,0.008259150840071637,1.0,1.0,0.8595422280546801
CELG,1.0107200971935084,0.8099674723483444,0.03676945919373894,0.008259150840071637,1.0,1.0,1.0107200971935084
CERN,0.8469061957306372,0.7973665076619505,0.031154196130664547,0.008259150840071637,1.0,1.0,0.8469061957306372
CHE,0.7846078097909195,0.8198992567453279,0.026987571806292385,0.008259150840071637,1.0,1.0,0.7846078097909195
CLLS,1.2859327884821914,0.7624132195783482,0.06743718859123786,0.008259150840071637,1.0,1.0,1.2859327884821914
CLVS,0.8724211043174871,0.43098467911880745,0.08904181961981122,0.008259150840071637,1.0,1.0,0.8724211043174871
CMD,1.0697990264940662,0.826588093019892,0.03645180816049927,0.008259150840071637,1.0,1.0,1.0697990264940662
CNC,0.8783852105828704,0.7563691150774317,0.04281885195370849,0.008259150840071637,1.0,1.0,0.8783852105828704
CNMD,0.7008631644100839,0.7429284356112422,0.032404210005970754,0.008259150840071637,1.0,1.0,0.7008631644100839
CO,0.46073929244581463,0.38749855632811486,0.047850894972449765,0.008259150840071637,1.0,1.0,0.46073929244581463
COLL,1.4806030157873187,0.5471074525453733,0.09524849209854122,0.008259150840071637,1.0,1.0,1.4806030157873187
COO,0.7158434197925284,0.7834763484172493,0.028560754055411072,0.008259150840071637,1.0,1.0,0.7158434197925284
CORT,1.4749885903851225,0.6449402117052531,0.0768296002336684,0.008259150840071637,1.0,1.0,1.4749885903851225
CRL,0.8529432072745742,0.8518439945429895,0.029959899273718,0.008259150840071637,1.0,1.0,0.8529432072745742
CRSP,1.1168799370697957,0.511847393975688,0.09322928512131907,0.008259150840071637,1.0,1.0,1.1168799370697957
CRY,1.0661720366036762,0.7876810866215593,0.04252029075439571,0.008259150840071637,1.0,1.0,1.0661720366036762
CTLT,1.02450876025187,0.8355054783447643,0.04078437638640155,0.008259150840071637,1.0,1.0,1.02450876025187
CTMX,0.9707809053893025,0.5484870581675672,0.07339783431818755,0.008259150840071637,1.0,1.0,0.9707809053893025
DBVT,0.7066236028489034,0.5622644030964611,0.04758742144692811,0.008259150840071637,1.0,1.0,0.7066236028489034
DGX,0.7239970993613958,0.8065740669236777,0.022519291180024565,0.008259150840071637,1.0,1.0,0.7239970993613958
DVA,0.6784087867015787,0.7372161032344405,0.029256288851639424,0.008259150840071637,1.0,1.0,0.6784087867015787
DVAX,1.2616032605483676,0.5107449204114729,0.09028135062006913,0.008259150840071637,1.0,1.0,1.2616032605483676
EBS,1.2354103903952292,0.7837442754885536,0.050195765290932184,0.008259150840071637,1.0,1.0,1.2354103903952292
EDIT,1.635692363243194,0.6951539066213898,0.10509664605914874,0.008259150840071637,1.0,1.0,1.635692363243194
EGRX,0.9364862022831638,0.5983443825752678,0.07701284508445118,0.008259150840071637,1.0,1.0,0.9364862022831638
EHC,0.6943106434356056,0.8081072227442173,0.030365172975224376,0.008259150840071637,1.0,1.0,0.6943106434356056
