State,Prob,Pct_Move,Relative_Price
0,7e-05,-0.5570164370903431,0.4429835629096569
1,0.00031,-0.5185499936986274,0.4814500063013726
2,0.00077,-0.48008355030691185,0.5199164496930881
3,0.00234,-0.4416171069151962,0.5583828930848038
4,0.00486,-0.4031506635234805,0.5968493364765195
5,0.00895,-0.36468422013176494,0.6353157798682351
6,0.01541,-0.32621777674004926,0.6737822232599507
7,0.02419,-0.2877513333483336,0.7122486666516664
8,0.03386,-0.24928488995661802,0.750715110043382
9,0.04554,-0.21081844656490234,0.7891815534350977
10,0.05215,-0.17235200317318677,0.8276479968268132
11,0.06266,-0.1338855597814711,0.8661144402185289
12,0.07271,-0.09541911638975542,0.9045808836102446
13,0.07612,-0.056952672998039744,0.9430473270019603
14,0.07633,-0.018486229606324178,0.9815137703936758
15,0.07788,0.0199802137853915,1.0199802137853915
16,0.06779,0.05844665717710695,1.058446657177107
17,0.06851,0.09691310056882285,1.0969131005688229
18,0.0551,0.1353795439605383,1.1353795439605383
19,0.05132,0.17384598735225398,1.173845987352254
20,0.04424,0.21231243074396966,1.2123124307439697
21,0.03419,0.2507788741356851,1.2507788741356851
22,0.0292,0.289245317527401,1.289245317527401
23,0.02189,0.32771176091911647,1.3277117609191165
24,0.01874,0.36617820431083237,1.3661782043108324
25,0.01352,0.4046446477025478,1.4046446477025478
26,0.0111,0.4431110910942633,1.4431110910942633
27,0.00811,0.4815775344859792,1.4815775344859792
28,0.00573,0.5200439778776946,1.5200439778776946
29,0.00489,0.5585104212694103,1.5585104212694103
30,0.00331,0.596976864661126,1.596976864661126
31,0.00243,0.6354433080528414,1.6354433080528414
32,0.00164,0.6739097514445573,1.6739097514445573
33,0.0012,0.7123761948362728,1.7123761948362728
34,0.00088,0.7508426382279885,1.7508426382279885
35,0.00061,0.7893090816197041,1.7893090816197041
36,0.00051,0.8277755250114196,1.8277755250114196
37,0.00033,0.8662419684031355,1.8662419684031355
38,0.00019,0.904708411794851,1.904708411794851
39,0.00015,0.9431748551865666,1.9431748551865666
40,8e-05,0.9816412985782823,1.9816412985782823
41,8e-05,1.0201077419699978,2.0201077419699978
42,6e-05,1.0585741853617137,2.0585741853617137
43,2e-05,1.0970406287534296,2.0970406287534296
44,1e-05,1.135507072145145,2.135507072145145
45,1e-05,1.1739735155368605,2.1739735155368605
46,0.0,1.2124399589285764,2.2124399589285764
47,0.0,1.2509064023202918,2.250906402320292
48,0.0,1.2893728457120073,2.2893728457120073
49,0.0,1.3278392891037232,2.327839289103723
50,1e-05,1.366305732495439,2.366305732495439
