Index,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY,SPY
Beta_Info,Beta,Corr,Stock_Cutoff,Index_Cutoff,Percentile_Cutoff,Index_Beta_to_SPY,Beta_to_SPY,Return,Index_Return,Idio_Return,Percent_Days
Stock,,,,,,,,,,,
A,1.1568102045829767,0.9471282650742388,0.03382463932510246,0.006912319662551233,0.85,1.0,1.1568102045829767,0.4676669484361793,0.2993375589763141,0.09016734950160177,0.16666666666666666
AAL,1.304023575491384,0.878045426505975,0.04636188716513784,0.006912319662551233,0.85,1.0,1.304023575491384,0.22238163558106172,0.2993375589763141,-0.12080585157285562,0.1622222222222222
AAP,0.8766467000095666,0.7939200126759361,0.034379376783546065,0.006912319662551233,0.85,1.0,0.8766467000095666,-0.2914697542533081,0.2993375589763141,-0.4387493738073436,0.14888888888888888
AAPL,1.0621495200205857,0.8861511800424346,0.03382463932510246,0.006912319662551233,0.85,1.0,1.0621495200205857,0.8729764624093754,0.2993375589763141,0.42113805914835645,0.16444444444444445
ABBV,1.0708824898152391,0.9106427060414827,0.03382463932510246,0.006912319662551233,0.85,1.0,1.0708824898152391,0.6743812279009966,0.2993375589763141,0.26793718061736604,0.15333333333333332
ABC,1.0974488552327233,0.8648059695867577,0.03382463932510246,0.006912319662551233,0.85,1.0,1.0974488552327233,0.05079825834542806,0.2993375589763141,-0.2090386161439577,0.15555555555555556
ABT,1.0224044584069125,0.942897430257633,0.03382463932510246,0.006912319662551233,0.85,1.0,1.0224044584069125,0.42299651567944263,0.2993375589763141,0.0895471024715273,0.16444444444444445
ACN,0.995262737958086,0.9430089696674908,0.03382463932510246,0.006912319662551233,0.85,1.0,0.995262737958086,0.4480088495575223,0.2993375589763141,0.11563839582916358,0.16444444444444445
ADBE,1.1476523352479402,0.9483492495056424,0.03382463932510246,0.006912319662551233,0.85,1.0,1.1476523352479402,1.4716942571019822,0.2993375589763141,0.8396941142879659,0.16444444444444445
ADI,1.2801774639620962,0.9315452624497303,0.03382463932510246,0.006912319662551233,0.85,1.0,1.2801774639620962,0.5088805605344631,0.2993375589763141,0.09085807635579446,0.16444444444444445
ADM,0.8062591836409412,0.8583219835580035,0.03382463932510246,0.006912319662551233,0.85,1.0,0.8062591836409412,0.02805049088359035,0.2993375589763141,-0.1718244291419514,0.1622222222222222
ADP,1.016321706495303,0.9410640018934089,0.03382463932510246,0.006912319662551233,0.85,1.0,1.016321706495303,0.4888343271366773,0.2993375589763141,0.14154867055176124,0.16444444444444445
ADS,1.0901047091802036,0.9192769417635547,0.03382463932510246,0.006912319662551233,0.85,1.0,1.0901047091802036,-0.0868591994382022,0.2993375589763141,-0.3115174473329544,0.16
ADSK,1.4403229440223697,0.9263053772849958,0.03726102651164441,0.006912319662551233,0.85,1.0,1.4403229440223697,1.291169049621531,0.2993375589763141,0.6009367639221315,0.16666666666666666
AEP,0.3288517706481989,0.5175796277157394,0.03382463932510246,0.006912319662551233,0.85,1.0,0.3288517706481989,0.040433772269558466,0.2993375589763141,-0.052805830267145804,0.16444444444444445
AES,0.8138636819130395,0.7314721213432933,0.035455536506794415,0.006912319662551233,0.85,1.0,0.8138636819130395,0.07242582897033145,0.2993375589763141,-0.1376579206945111,0.1622222222222222
AET,0.4899865695270238,0.7651171928303778,0.03382463932510246,0.006912319662551233,0.85,1.0,0.4899865695270238,0.546984323797715,0.2993375589763141,0.34910868610750967,0.16444444444444445
AFL,0.805351016762443,0.9445566723600822,0.03382463932510246,0.006912319662551233,0.85,1.0,0.805351016762443,0.3566286742651468,0.2993375589763141,0.09311054049589962,0.16666666666666666
AGN,0.906037048316946,0.8219045982871737,0.03761286953540348,0.006912319662551233,0.85,1.0,0.906037048316946,-0.381858407079646,0.2993375589763141,-0.513737976931852,0.16444444444444445
AIG,0.7057970999344753,0.835438945837015,0.03382463932510246,0.006912319662551233,0.85,1.0,0.7057970999344753,0.007242233657328123,0.2993375589763141,-0.16844228046416965,0.16666666666666666
AIV,0.39137983815938165,0.5432949538788459,0.03382463932510246,0.006912319662551233,0.85,1.0,0.39137983815938165,-0.058077898133210515,0.2993375589763141,-0.1568561505514825,0.16444444444444445
AIZ,0.9010397382128098,0.8623787560201865,0.03382463932510246,0.006912319662551233,0.85,1.0,0.9010397382128098,0.09819413092550788,0.2993375589763141,-0.13508614139295594,0.16444444444444445
AJG,0.8426585266444735,0.9464641237762844,0.03382463932510246,0.006912319662551233,0.85,1.0,0.8426585266444735,0.47542391071045276,0.2993375589763141,0.17822835940495696,0.16444444444444445
AKAM,1.048029671680548,0.9205258822067768,0.03382463932510246,0.006912319662551233,0.85,1.0,1.048029671680548,0.5099940629329109,0.2993375589763141,0.14940795569662813,0.16444444444444445
ALB,1.353289079272244,0.8667468685417553,0.03841509743116973,0.006912319662551233,0.85,1.0,1.353289079272244,0.19616411750424878,0.2993375589763141,-0.1486923221743649,0.15777777777777777
ALGN,1.5036456980744044,0.9396526342599362,0.03577792732095484,0.006912319662551233,0.85,1.0,1.5036456980744044,2.2135726303982053,0.2993375589763141,1.2161077693325035,0.16
ALK,0.866107829918696,0.7556340422909712,0.039295052803586944,0.006912319662551233,0.85,1.0,0.866107829918696,-0.071340902117214,0.2993375589763141,-0.2625350383038574,0.16444444444444445
ALL,0.7087590137769049,0.8976681635234928,0.03382463932510246,0.006912319662551233,0.85,1.0,0.7087590137769049,0.45501207729468596,0.2993375589763141,0.20034834198487306,0.16444444444444445
